Year,Month,Singapore,Australia,New Zealand,Canada,United Kingdom,Hong Kong,Sri Lanka,Bangladesh,India,Brunei,USA,China,Russia,Latin America,Arabs,Germany,France,Nor/Swe/Den/Fin,Belg/Lux/Net,Europe,Philippines,Thailand,Taiwan,Indonesia,Pakistan,Japan,South Korea,Others,Peninsular Malaysia,Sabah,Australia & New Zealand,United Kingdom & Ireland,Western Europe,Eastern Europe
2015,August,3037,1316,392,507,2565,63,129,226,2584,113000,894,3141,93,100,341,963,998,388,1163,2859,8233,2422,717,39376,322,1108,799,2835,80817,73469,,,,
2015,September,3423,1512,426,466,1966,61,97,191,2375,115501,810,2997,69,132,236,696,383,408,1001,1157,7689,2276,669,35163,284,897,705,2083,86711,77915,,,,
2015,October,2698,1309,358,551,2574,84,144,199,2523,105218,809,2791,91,105,291,515,365,479,834,1443,7598,2324,552,38332,317,874,563,1961,85347,70835,,,,
2015,November,2890,1428,317,742,2051,70,35,198,2073,92652,918,2636,159,138,250,488,301,467,765,1013,6474,1286,788,35604,275,1016,612,2169,95162,77045,,,,
2015,December,4670,2001,410,689,2353,84,90,176,2200,145839,778,2707,82,77,302,309,254,345,651,689,8001,1714,648,45280,317,915,739,2637,122420,92847,,,,
2016,January,2727,1737,360,664,1967,99,97,205,2050,74127,733,2531,144,100,404,436,246,319,576,894,6098,1138,658,43462,299,1063,789,3245,78342,57581,,,,
2016,February,3483,1883,318,943,2520,79,159,137,2206,96394,1044,2536,139,128,301,890,378,535,797,1591,6712,1196,918,37137,1772,1016,720,2821,95686,99744,,,,
2016,March,3759,1473,437,832,2972,98,78,306,2696,133082,787,3637,73,80,350,781,347,344,541,915,6970,1777,719,37749,317,1017,591,1967,96441,110116,,,,
2016,April,2878,1623,359,758,2832,74,89,222,2818,115951,1493,3073,57,189,277,566,518,317,739,831,6563,1269,513,34256,323,814,571,2438,86427,102225,,,,
2016,May,2993,1200,371,666,2752,12,77,207,2335,103496,819,2905,60,107,315,458,348,183,692,593,6092,1196,502,38504,240,836,647,1838,99925,106585,,,,
2016,June,3633,1231,392,573,2029,73,105,168,2182,101928,789,2959,81,89,227,462,257,278,554,793,5291,1288,673,32824,233,813,795,1956,90912,105563,,,,
2016,July,2745,1703,485,761,3227,108,95,169,2391,110264,761,3432,72,102,370,731,857,646,1951,1816,6388,1337,1158,48504,390,897,865,2129,118400,131998,,,,
2016,August,3313,1290,384,600,3565,5,97,184,2552,113412,898,3465,101,100,472,985,856,349,1584,2780,5750,1308,943,41863,351,1247,866,2446,102708,87829,,,,
2016,September,3352,1611,345,558,2447,84,65,171,2296,126163,710,3146,79,81,233,754,383,346,802,1182,5502,1198,831,40034,317,956,665,2025,114796,87592,,,,
2016,October,3061,1160,318,652,2507,68,91,172,2260,121716,718,3540,128,88,236,539,371,416,767,940,5742,1283,691,40647,334,924,625,2205,109911,91592,,,,
2016,November,3512,1459,233,577,1755,62,103,170,2139,109389,637,3803,109,119,245,452,277,337,606,876,5232,1214,855,38595,348,1050,766,1945,110794,78397,,,,
2016,December,4753,2130,415,804,2701,6,80,146,2929,189091,723,3318,109,73,305,323,231,232,621,713,7317,1405,714,47006,434,845,826,2739,136623,102257,,,,
2017,January,3661,2276,449,718,2144,83,106,189,2535,153333,764,3230,123,88,197,372,287,280,554,901,6226,1381,1086,44381,397,903,1053,2167,113794,76772,,,,
2017,February,2692,1184,290,680,2203,66,85,140,2446,129752,604,3786,134,120,197,510,352,309,545,1044,6174,1227,675,41578,415,811,972,2066,96838,71740,,,,
2017,March,3952,1597,469,961,3323,71,61,179,3055,196654,1231,3543,164,372,330,779,418,421,792,1369,5716,1325,1106,40618,434,1105,806,2695,117815,85071,,,,
2017,April,3061,1519,408,807,2752,53,98,153,2775,156521,760,2910,150,82,235,727,495,369,777,1057,5515,1274,690,40550,380,834,739,2219,106088,75666,,,,
2017,May,2054,1270,442,661,2983,80,67,122,2843,147209,725,2869,140,114,195,550,400,232,666,802,5870,1368,834,37439,302,829,954,2045,127027,80421,,,,
2017,June,4093,1633,446,613,2666,102,67,160,2668,151890,900,3076,72,92,206,477,494,292,750,930,6100,1284,814,53647,289,838,1015,1967,104536,86109,,,,
2017,July,2967,1870,505,708,3900,82,131,151,2632,132984,1201,3611,121,186,443,797,1003,806,2137,1954,5921,1550,1618,56382,369,976,1143,2011,100902,77298,,,,
2017,August,3442,1282,456,657,3389,96,164,146,2504,137238,664,3358,124,111,288,1039,1010,301,1416,2705,5172,1406,1222,45737,378,1140,976,2098,71673,84908,,,,
2017,September,4144,1768,392,646,2524,84,111,188,2406,155891,675,3070,116,137,284,644,429,366,939,983,5780,1358,853,39349,415,970,957,1813,102634,86955,,,,
2017,October,3090,1386,430,740,2809,413,125,103,2481,105501,943,2895,130,177,255,624,476,518,862,953,5266,1474,1005,39633,294,798,926,1776,107639,78586,,,,
2017,November,4105,1328,384,635,2159,242,127,109,2358,111005,734,3024,111,115,187,391,249,333,500,866,5090,1271,696,33904,265,846,707,1730,99736,67764,,,,
2017,December,4916,1820,443,676,2547,5,95,135,2648,160805,771,2832,108,120,294,337,252,239,314,990,5550,1050,622,40224,284,767,863,2248,115840,81554,,,,
2018,January,2835,1470,402,628,2225,68,65,149,2343,108207,962,3668,145,145,214,412,303,352,408,940,4142,1013,736,35182,361,721,1117,2417,86539,68178,,,,
2018,February,4047,1365,339,715,2275,3,114,157,2108,95573,620,4781,122,77,238,552,350,331,473,1162,4743,998,859,38014,309,758,920,2389,141954,71559,,,,
2018,March,4372,1423,476,930,3130,9,95,143,3202,130881,1283,4452,153,160,334,769,529,454,692,1378,5168,1083,860,33302,292,877,868,2266,104306,67421,,,,
2018,April,3425,1464,361,860,3061,10,125,172,2321,107937,1186,3454,140,185,215,537,522,290,805,909,5025,1035,805,32308,279,746,748,2207,83275,76598,,,,
2018,May,3177,1052,325,634,2728,2,59,103,2279,106243,649,3286,85,124,230,582,405,195,750,854,4989,1075,597,31387,203,618,772,1727,104867,74078,,,,
2018,June,4855,1351,395,591,2824,1,92,147,2475,124279,1082,2985,103,188,251,460,405,262,743,867,5341,1028,642,35993,272,750,832,1740,114167,76768,,,,
2018,July,3491,1753,521,790,3541,21,84,188,2114,97464,1136,4100,124,128,286,795,1091,533,2062,1984,4564,1173,1245,36382,280,937,1161,2302,130902,68807,,,,
2018,August,3610,1188,382,551,3387,1,109,186,2097,104373,834,4069,137,70,252,888,1111,327,1378,2809,5032,1031,882,34647,319,1097,1157,2144,84808,64940,,,,
2018,September,3514,1210,376,584,2349,156,67,188,1958,133199,642,3307,151,148,221,661,450,332,890,1097,4684,1071,622,35007,240,785,815,1667,134905,72516,,,,
2018,October,2909,1036,313,669,2247,130,48,148,1997,99304,641,3225,137,131,217,411,311,335,654,818,4340,1032,654,37176,225,673,751,2458,138224,66683,,,,
2018,November,3532,1290,269,667,2321,19,64,139,2116,104395,818,3428,318,242,298,445,322,271,552,1116,4999,1101,738,29807,237,752,788,2307,135446,71888,,,,
2018,December,3967,1644,415,669,2158,153,54,161,2243,115706,655,3270,135,74,302,322,227,224,394,718,4904,965,631,38569,332,594,854,2766,202046,77071,,,,
2019,January,2615,1614,389,652,1812,4,70,130,1865,86685,618,3205,163,105,288,381,263,237,450,752,3905,835,749,35450,268,628,1338,1528,145447,68888,,,,
2019,February,3053,1114,246,743,2147,41,88,199,1811,96045,748,3669,129,130,192,479,335,285,511,989,5245,1136,751,32178,344,758,931,1629,111320,69242,,,,
2019,March,3356,1123,321,698,2476,21,93,213,2127,122093,814,3109,136,83,219,598,411,252,551,991,5269,1027,698,26675,277,805,841,2080,100676,141988,,,,
2019,April,3048,1580,320,652,2732,3,100,149,2122,90921,607,3055,174,74,296,582,566,289,761,1032,4652,1040,659,28410,289,763,807,1890,117066,89739,,,,
2019,May,4669,1114,350,708,2774,6,65,125,2342,112727,745,3195,144,99,226,495,437,159,536,813,5358,912,637,29364,176,746,681,1580,95256,58974,,,,
2019,June,6879,1407,412,780,2428,9,65,125,2373,112967,767,3141,105,168,291,453,461,251,722,845,5674,1128,798,39906,287,714,905,1956,177168,69387,,,,
2019,July,3594,1871,442,519,5119,7,103,179,2497,105457,1095,3809,197,116,373,756,1199,417,2207,1873,5535,1249,1259,43834,336,888,865,2354,94524,64809,,,,
2019,August,3459,1209,420,651,3395,8,148,172,2311,108505,863,3594,127,118,337,875,1269,275,1208,3169,5490,1067,1252,34595,300,1276,935,2567,97009,61526,,,,
2019,September,3593,1432,357,563,2192,16,113,217,2337,128625,757,3239,150,118,279,597,558,289,881,1496,5751,1155,808,32553,290,1025,980,2302,171055,87375,,,,
2019,October,3309,1213,294,658,2725,6,97,164,2209,91914,622,3057,133,68,296,508,411,265,643,998,4922,1073,685,33381,209,697,721,2085,158190,84531,,,,
2019,November,3593,1353,278,636,1913,12,111,179,2292,101377,683,3242,158,55,279,402,182,186,339,790,5501,1193,880,31511,231,977,971,2020,161891,89704,,,,
2019,December,5644,1851,470,774,2481,25,117,170,2505,138701,1023,3618,151,100,318,407,233,178,289,874,5936,913,828,50604,421,814,845,1974,174896,89314,,,,
2020,January,4482,2750,498,904,2339,22,79,183,2376,88212,998,3418,187,154,302,527,270,263,471,1006,5485,1024,1055,49766,368,865,1620,2080,172124,75948,,,,
2020,February,1865,867,170,565,1834,11,89,216,2476,59191,365,1168,74,100,299,623,324,396,209,700,3494,925,685,30856,384,708,660,2021,132871,67022,,,,
2020,March,916,355,102,238,933,3,43,67,981,30248,116,682,74,42,118,444,159,146,89,295,1787,540,98,16158,170,272,134,1157,78583,38249,,,,
2020,April,1,2,0,2,2,0,0,2,161,283,1,150,4,0,49,0,0,0,0,3,372,146,14,637,5,0,10,219,3593,4425,,,,
2020,May,3,2,0,5,30,0,0,18,188,340,3,259,2,3,41,2,9,4,1,11,252,164,14,548,1,0,11,304,8118,6399,,,,
2020,June,2,9,0,1,31,1,2,42,312,410,8,193,2,0,21,0,0,9,0,22,409,169,1,886,3,7,13,456,14810,12481,,,,
2020,July,18,19,7,5,24,10,9,43,334,346,15,194,6,0,7,3,12,7,0,5,563,183,9,1329,17,21,47,446,39864,29112,,,,
2020,August,7,4,3,4,19,1,16,22,300,205,4,258,4,1,10,2,0,4,0,3,467,166,20,1082,8,8,16,394,27508,13620,,,,
2020,September,33,17,3,1,35,0,10,30,352,332,14,335,12,6,35,0,1,3,2,9,400,115,42,1158,26,34,46,564,47898,26174,,,,
2020,October,19,15,2,2,24,0,19,18,324,352,5,116,3,2,24,1,0,3,0,4,428,122,4,942,7,4,28,499,8889,6482,,,,
2020,November,14,8,1,0,14,0,6,13,140,324,1,189,0,0,1,7,0,1,0,2,146,27,15,546,8,11,15,137,6899,4837,,,,
2020,December,3,4,1,3,15,0,5,5,101,373,3,231,0,1,50,2,0,0,0,5,269,51,3,472,4,7,8,140,5363,5299,,,,
